glycan,circulatory_system,digestive_system,endocrine_system,immune_system,integumentary_system,lymphatic_system,muscular_system,nervous_system,other,reproductive_system,respiratory_system,sensory_system,skeletal_system,urinary_system
Fuc(a1-2)Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(a1-3)[Gal(a1-6)]Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)Gal(b1-3)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[GalNAc(a1-3)GalNAc(b1-3)]Gal(a1-4)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,1,1,0,0,0,0,1,1,1,1,0,0,1
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc1Cer,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,1,1,0,0,0,0,1
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)][Fuc(a1-6)]GlcNAc,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Xyl(b1-2)][Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-2)Man(a1-?)[Man(a1-?)]Man(b1-4)GlcNAc(b1-4)GlcNAc,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)[GalNAc(a1-3)]Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)GalNAc,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-?)[Fuc(a1-?)]GlcNAcOS(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal3S(b1-4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc6S(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal3S(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[GalOS(b1-4)GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Gal(b1-?)[Neu5Ac(a2-?)]GlcNAc(b1-3)]Glc(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-3)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)][GlcNAc(b1-6)]Gal,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)][GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3)[Gal3S(b1-4)]GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-3)[Gal4S(b1-4)]GlcNAc(b1-6)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]Glc-ol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-?)]GlcNAc,1,0,0,0,1,1,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)GalNAc,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]Glc-ol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc1Cer,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc-ol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc6S(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAcOS(b1-3)Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Fuc(a1-?)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,1,0,0,0,0,0,0,0,0,0,0,0,0
